open,high,low,close,volume
1.037,1.0371,1.0369,1.037,10384.8
1.0371,1.0372,1.037,1.0372,53776.4
1.0372,1.0373,1.0372,1.0372,5043.4
1.0372,1.0373,1.0372,1.0372,432.4
1.0372,1.0373,1.0372,1.0372,2315.1
1.0373,1.0373,1.0372,1.0372,1437.7
1.0372,1.0372,1.0372,1.0372,34.8
1.0373,1.0373,1.0372,1.0372,2591.5
1.0371,1.0372,1.0371,1.0372,2916.1
1.0372,1.0373,1.0371,1.0373,1809.4
1.0373,1.0373,1.0371,1.0371,1870.4
1.0373,1.0373,1.0372,1.0373,5250.0
1.0372,1.0373,1.0372,1.0373,3191.6
1.0373,1.0373,1.0372,1.0372,19474.4
1.0372,1.0373,1.0372,1.0372,283.6
1.0373,1.0374,1.0373,1.0373,752.7
1.0373,1.0374,1.0373,1.0373,1443.9
1.0374,1.0374,1.0373,1.0374,3023.0
1.0373,1.0374,1.0372,1.0374,8288.0
1.0373,1.0374,1.0372,1.0372,419.9
1.0372,1.0373,1.0372,1.0372,2221.5
1.0372,1.0373,1.0372,1.0372,3121.0
1.0373,1.0373,1.0372,1.0372,2987.3
1.0372,1.0373,1.0372,1.0372,2350.9
1.0372,1.0373,1.0372,1.0372,2552.0
1.0373,1.0373,1.0372,1.0373,2001.1
1.0373,1.0373,1.0372,1.0373,357.6
1.0372,1.0372,1.0372,1.0372,520.6
1.0372,1.0373,1.0372,1.0373,1731.5
1.0373,1.0373,1.0372,1.0373,790.0
1.0372,1.0373,1.0372,1.0372,2868.3
1.0373,1.0373,1.0372,1.0373,647.0
1.0372,1.0373,1.0372,1.0373,545.1
1.0372,1.0373,1.0372,1.0372,3518.5
1.0373,1.0373,1.0372,1.0372,950.6
1.0373,1.0373,1.0373,1.0373,3689.4
1.0373,1.0373,1.0372,1.0372,7324.0
1.0373,1.0373,1.0373,1.0373,429.0
1.0373,1.0374,1.0373,1.0374,2003.4
1.0373,1.0374,1.0373,1.0374,1262.8
1.0374,1.0374,1.0373,1.0374,804.9
1.0373,1.0374,1.0373,1.0374,1188.1
1.0373,1.0374,1.0373,1.0374,442.5
1.0374,1.0374,1.0373,1.0374,663.7
1.0374,1.0374,1.0373,1.0374,2184.9
1.0373,1.0374,1.0373,1.0374,2252.8
1.0373,1.0374,1.0373,1.0374,1201.2
1.0374,1.0374,1.0373,1.0374,1149.9
1.0373,1.0374,1.0373,1.0373,4012.5
1.0373,1.0374,1.0373,1.0374,645.2
1.0373,1.0374,1.0373,1.0374,1489.1
1.0373,1.0373,1.0373,1.0373,3280.0
1.0374,1.0374,1.0373,1.0373,789.5
1.0373,1.0375,1.0373,1.0374,2875.4
1.0373,1.0374,1.0373,1.0373,833.8
1.0374,1.0374,1.0373,1.0373,889.9
1.0373,1.0374,1.0373,1.0373,1052.1
1.0373,1.0374,1.0373,1.0373,2449.3
1.0373,1.0374,1.0373,1.0374,1175.8
1.0374,1.0374,1.0373,1.0374,1212.1
1.0373,1.0374,1.0373,1.0374,2430.2
1.0374,1.0374,1.0373,1.0373,4252.8
1.0374,1.0374,1.0373,1.0374,3625.6
1.0373,1.0373,1.0373,1.0373,361.1
1.0374,1.0374,1.0373,1.0373,2174.4
1.0374,1.0374,1.0372,1.0373,12947.6
1.0372,1.0373,1.0372,1.0373,49.8
